,awardYear,category,knownName.en,motivation,prizeAmountAdjusted,wikipedia.english,links.href
170,2002,Economic Sciences,Daniel Kahneman,"for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty",13632863.0,https://en.wikipedia.org/wiki/Daniel_Kahneman,https://api.nobelprize.org/2/laureate/759
556,2002,Chemistry,Kurt Wüthrich,for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution,13632863.0,https://en.wikipedia.org/wiki/Kurt_Wüthrich,https://api.nobelprize.org/2/laureate/758
551,2002,Chemistry,Koichi Tanaka,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,13632863.0,https://en.wikipedia.org/wiki/Koichi_Tanaka,https://api.nobelprize.org/2/laureate/757
357,2002,Physiology or Medicine,H. Robert Horvitz,for their discoveries concerning genetic regulation of organ development and programmed cell death',13632863.0,https://en.wikipedia.org/wiki/H._Robert_Horvitz,https://api.nobelprize.org/2/laureate/751
492,2002,Physiology or Medicine,John E. Sulston,for their discoveries concerning genetic regulation of organ development and programmed cell death',13632863.0,https://en.wikipedia.org/wiki/John_Sulston,https://api.nobelprize.org/2/laureate/752
888,2002,Physiology or Medicine,Sydney Brenner,for their discoveries concerning genetic regulation of organ development and programmed cell death',13632863.0,https://en.wikipedia.org/wiki/Sydney_Brenner,https://api.nobelprize.org/2/laureate/750
0,2001,Economic Sciences,A. Michael Spence,for their analyses of markets with asymmetric information,13927869.0,https://en.wikipedia.org/wiki/Michael_Spence,https://api.nobelprize.org/2/laureate/745
306,2001,Economic Sciences,George A. Akerlof,for their analyses of markets with asymmetric information,13927869.0,https://en.wikipedia.org/wiki/George_Akerlof,https://api.nobelprize.org/2/laureate/744
870,2001,Physiology or Medicine,Sir Paul Nurse,for their discoveries of key regulators of the cell cycle,13927869.0,https://en.wikipedia.org/wiki/Paul_Nurse,https://api.nobelprize.org/2/laureate/737
979,2001,Physics,Wolfgang Ketterle,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",13927869.0,https://en.wikipedia.org/wiki/Wolfgang_Ketterle,https://api.nobelprize.org/2/laureate/739
969,2001,Chemistry,William Knowles,for their work on chirally catalysed hydrogenation reactions,13927869.0,https://en.wikipedia.org/wiki/William_Standish_Knowles,https://api.nobelprize.org/2/laureate/741
238,2001,Physics,Eric Cornell,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",13927869.0,https://en.wikipedia.org/wiki/Eric_Allin_Cornell,https://api.nobelprize.org/2/laureate/738
514,2001,Economic Sciences,Joseph E. Stiglitz,for their analyses of markets with asymmetric information,13927869.0,https://en.wikipedia.org/wiki/Joseph_Stiglitz,https://api.nobelprize.org/2/laureate/746
529,2001,Chemistry,K. Barry Sharpless,for his work on chirally catalysed oxidation reactions,13927869.0,https://en.wikipedia.org/wiki/Karl_Barry_Sharpless,https://api.nobelprize.org/2/laureate/743
926,2001,Literature,V. S. Naipaul,for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories,13927869.0,https://en.wikipedia.org/wiki/V._S._Naipaul,https://api.nobelprize.org/2/laureate/747
550,2001,Peace,Kofi Annan,for their work for a better organized and more peaceful world,13927869.0,https://en.wikipedia.org/wiki/Kofi_Annan,https://api.nobelprize.org/2/laureate/749
564,2001,Physiology or Medicine,Leland Hartwell,for their discoveries of key regulators of the cell cycle,13927869.0,https://en.wikipedia.org/wiki/Leland_H._Hartwell,https://api.nobelprize.org/2/laureate/735
923,2001,Peace,,for their work for a better organized and more peaceful world,13927869.0,https://en.wikipedia.org/wiki/United_Nations,https://api.nobelprize.org/2/laureate/748
911,2001,Physiology or Medicine,Tim Hunt,for their discoveries of key regulators of the cell cycle,13927869.0,https://en.wikipedia.org/wiki/Tim_Hunt,https://api.nobelprize.org/2/laureate/736
127,2001,Physics,Carl Wieman,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",13927869.0,https://en.wikipedia.org/wiki/Carl_Wieman,https://api.nobelprize.org/2/laureate/740
822,2001,Chemistry,Ryoji Noyori,for their work on chirally catalysed hydrogenation reactions,13927869.0,https://en.wikipedia.org/wiki/Ryōji_Noyori,https://api.nobelprize.org/2/laureate/742
393,2000,Physics,Herbert Kroemer,for developing semiconductor heterostructures used in high-speed- and opto-electronics,12838146.0,https://en.wikipedia.org/wiki/Herbert_Kroemer,https://api.nobelprize.org/2/laureate/727
703,2000,Physiology or Medicine,Paul Greengard,for their discoveries concerning signal transduction in the nervous system,12838146.0,https://en.wikipedia.org/wiki/Paul_Greengard,https://api.nobelprize.org/2/laureate/723
400,2000,Chemistry,Hideki Shirakawa,for the discovery and development of conductive polymers,12838146.0,https://en.wikipedia.org/wiki/Hideki_Shirakawa,https://api.nobelprize.org/2/laureate/731
544,2000,Peace,Kim Dae-jung,"for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular",12838146.0,https://en.wikipedia.org/wiki/Kim_Dae-jung,https://api.nobelprize.org/2/laureate/725
451,2000,Economic Sciences,James J. Heckman,for his development of theory and methods for analyzing selective samples,12838146.0,https://en.wikipedia.org/wiki/James_Heckman,https://api.nobelprize.org/2/laureate/732
438,2000,Physics,Jack Kilby,for his part in the invention of the integrated circuit,12838146.0,https://en.wikipedia.org/wiki/Jack_Kilby,https://api.nobelprize.org/2/laureate/728
301,2000,Literature,Gao Xingjian,"for an œuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama",12838146.0,https://en.wikipedia.org/wiki/Gao_Xingjian,https://api.nobelprize.org/2/laureate/734
991,2000,Physics,Zhores Alferov,for developing semiconductor heterostructures used in high-speed- and opto-electronics,12838146.0,https://en.wikipedia.org/wiki/Zhores_Alferov,https://api.nobelprize.org/2/laureate/726
19,2000,Chemistry,Alan Heeger,for the discovery and development of conductive polymers,12838146.0,https://en.wikipedia.org/wiki/Alan_J._Heeger,https://api.nobelprize.org/2/laureate/729
171,2000,Economic Sciences,Daniel L. McFadden,for his development of theory and methods for analyzing discrete choice,12838146.0,https://en.wikipedia.org/wiki/Daniel_McFadden,https://api.nobelprize.org/2/laureate/733
85,2000,Physiology or Medicine,Arvid Carlsson,for their discoveries concerning signal transduction in the nervous system,12838146.0,https://en.wikipedia.org/wiki/Arvid_Carlsson,https://api.nobelprize.org/2/laureate/722
240,2000,Physiology or Medicine,Eric Kandel,for their discoveries concerning signal transduction in the nervous system,12838146.0,https://en.wikipedia.org/wiki/Eric_Kandel,https://api.nobelprize.org/2/laureate/724
21,2000,Chemistry,Alan MacDiarmid,for the discovery and development of conductive polymers,12838146.0,https://en.wikipedia.org/wiki/Alan_MacDiarmid,https://api.nobelprize.org/2/laureate/730
351,1999,Literature,Günter Grass,whose frolicsome black fables portray the forgotten face of history,11383718.0,https://en.wikipedia.org/wiki/Günter_Grass,https://api.nobelprize.org/2/laureate/676
613,1999,Physics,Martinus J.G. Veltman,for elucidating the quantum structure of electroweak interactions in physics,11383718.0,https://en.wikipedia.org/wiki/Martinus_J._G._Veltman,https://api.nobelprize.org/2/laureate/159
14,1999,Chemistry,Ahmed Zewail,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,11383718.0,https://en.wikipedia.org/wiki/Ahmed_Zewail,https://api.nobelprize.org/2/laureate/292
795,1999,Economic Sciences,Robert Mundell,for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas,11383718.0,https://en.wikipedia.org/wiki/Robert_Mundell,https://api.nobelprize.org/2/laureate/720
350,1999,Physiology or Medicine,Günter Blobel,for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell,11383718.0,https://en.wikipedia.org/wiki/Günter_Blobel,https://api.nobelprize.org/2/laureate/461
330,1999,Physics,Gerardus 't Hooft,for elucidating the quantum structure of electroweak interactions in physics,11383718.0,https://en.wikipedia.org/wiki/Gerard_'t_Hooft,https://api.nobelprize.org/2/laureate/158
192,1999,Peace,,in recognition of the organisation's pioneering humanitarian work on several continents,11383718.0,https://en.wikipedia.org/wiki/Médecins_Sans_Frontières,https://api.nobelprize.org/2/laureate/568
503,1998,Chemistry,John Pople,for his development of computational methods in quantum chemistry,11003681.0,https://en.wikipedia.org/wiki/John_Pople,https://api.nobelprize.org/2/laureate/291
585,1998,Physiology or Medicine,Louis J. Ignarro,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,11003681.0,https://en.wikipedia.org/wiki/Louis_Ignarro,https://api.nobelprize.org/2/laureate/459
785,1998,Physiology or Medicine,Robert F. Furchgott,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,11003681.0,https://en.wikipedia.org/wiki/Robert_F._Furchgott,https://api.nobelprize.org/2/laureate/458
182,1998,Peace,David Trimble,for their efforts to find a peaceful solution to the conflict in Northern Ireland,11003681.0,https://en.wikipedia.org/wiki/David_Trimble,https://api.nobelprize.org/2/laureate/567
169,1998,Physics,Daniel C. Tsui,for their discovery of a new form of quantum fluid with fractionally charged excitations,11003681.0,https://en.wikipedia.org/wiki/Daniel_C._Tsui,https://api.nobelprize.org/2/laureate/157
50,1998,Economic Sciences,Amartya Sen,for his contributions to welfare economics,11003681.0,https://en.wikipedia.org/wiki/Amartya_Sen,https://api.nobelprize.org/2/laureate/719
499,1998,Peace,John Hume,for their efforts to find a peaceful solution to the conflict in Northern Ireland,11003681.0,https://en.wikipedia.org/wiki/John_Hume,https://api.nobelprize.org/2/laureate/566
775,1998,Physics,Robert B. Laughlin,for their discovery of a new form of quantum fluid with fractionally charged excitations,11003681.0,https://en.wikipedia.org/wiki/Robert_B._Laughlin,https://api.nobelprize.org/2/laureate/155
511,1998,Literature,José Saramago,"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality",11003681.0,https://en.wikipedia.org/wiki/José_Saramago,https://api.nobelprize.org/2/laureate/675
268,1998,Physiology or Medicine,Ferid Murad,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,11003681.0,https://en.wikipedia.org/wiki/Ferid_Murad,https://api.nobelprize.org/2/laureate/460
404,1998,Physics,Horst L. Störmer,for their discovery of a new form of quantum fluid with fractionally charged excitations,11003681.0,https://en.wikipedia.org/wiki/Horst_Ludwig_Störmer,https://api.nobelprize.org/2/laureate/156
940,1998,Chemistry,Walter Kohn,for his development of the density-functional theory,11003681.0,https://en.wikipedia.org/wiki/Walter_Kohn,https://api.nobelprize.org/2/laureate/290
476,1997,Peace,Jody Williams,for their work for the banning and clearing of anti-personnel mines,10844112.0,https://en.wikipedia.org/wiki/Jody_Williams,https://api.nobelprize.org/2/laureate/565
493,1997,Chemistry,John E. Walker,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),10844112.0,https://en.wikipedia.org/wiki/John_E._Walker,https://api.nobelprize.org/2/laureate/288
879,1997,Physics,Steven Chu,for development of methods to cool and trap atoms with laser light,10844112.0,https://en.wikipedia.org/wiki/Steven_Chu,https://api.nobelprize.org/2/laureate/152
701,1997,Chemistry,Paul D. Boyer,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),10844112.0,https://en.wikipedia.org/wiki/Paul_D._Boyer,https://api.nobelprize.org/2/laureate/287
961,1997,Physics,William D. Phillips,for development of methods to cool and trap atoms with laser light,10844112.0,https://en.wikipedia.org/wiki/William_Daniel_Phillips,https://api.nobelprize.org/2/laureate/154
876,1997,Physiology or Medicine,Stanley B. Prusiner,for his discovery of Prions - a new biological principle of infection,10844112.0,https://en.wikipedia.org/wiki/Stanley_B._Prusiner,https://api.nobelprize.org/2/laureate/457
779,1997,Economic Sciences,Robert C. Merton,for a new method to determine the value of derivatives,10844112.0,https://en.wikipedia.org/wiki/Robert_C._Merton,https://api.nobelprize.org/2/laureate/717
471,1997,Chemistry,Jens C. Skou,"for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase",10844112.0,https://en.wikipedia.org/wiki/Jens_Christian_Skou,https://api.nobelprize.org/2/laureate/289
173,1997,Literature,Dario Fo,who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden,10844112.0,https://en.wikipedia.org/wiki/Dario_Fo,https://api.nobelprize.org/2/laureate/674
154,1997,Physics,Claude Cohen-Tannoudji,for development of methods to cool and trap atoms with laser light,10844112.0,https://en.wikipedia.org/wiki/Claude_Cohen-Tannoudji,https://api.nobelprize.org/2/laureate/153
650,1997,Economic Sciences,Myron Scholes,for a new method to determine the value of derivatives,10844112.0,https://en.wikipedia.org/wiki/Myron_Scholes,https://api.nobelprize.org/2/laureate/718
416,1997,Peace,,for their work for the banning and clearing of anti-personnel mines,10844112.0,https://en.wikipedia.org/wiki/International_Campaign_to_Ban_Landmines,https://api.nobelprize.org/2/laureate/564
783,1996,Chemistry,Robert F. Curl Jr.,for their discovery of fullerenes,10750752.0,https://en.wikipedia.org/wiki/Robert_Curl,https://api.nobelprize.org/2/laureate/284
780,1996,Physics,Robert C. Richardson,for their discovery of superfluidity in helium-3,10750752.0,https://en.wikipedia.org/wiki/Robert_Coleman_Richardson,https://api.nobelprize.org/2/laureate/151
129,1996,Peace,Carlos Filipe Ximenes Belo,for their work towards a just and peaceful solution to the conflict in East Timor,10750752.0,https://en.wikipedia.org/wiki/Carlos_Filipe_Ximenes_Belo,https://api.nobelprize.org/2/laureate/562
721,1996,Physiology or Medicine,Peter C. Doherty,for their discoveries concerning the specificity of the cell mediated immune defence,10750752.0,https://en.wikipedia.org/wiki/Peter_C._Doherty,https://api.nobelprize.org/2/laureate/455
860,1996,Chemistry,Sir Harold Kroto,for their discovery of fullerenes,10750752.0,https://en.wikipedia.org/wiki/Harry_Kroto,https://api.nobelprize.org/2/laureate/285
181,1996,Physics,David M. Lee,for their discovery of superfluidity in helium-3,10750752.0,https://en.wikipedia.org/wiki/David_Lee_(physicist),https://api.nobelprize.org/2/laureate/149
510,1996,Peace,José Ramos-Horta,for their work towards a just and peaceful solution to the conflict in East Timor,10750752.0,https://en.wikipedia.org/wiki/José_Ramos-Horta,https://api.nobelprize.org/2/laureate/563
972,1996,Economic Sciences,William Vickrey,for their fundamental contributions to the economic theory of incentives under asymmetric information,10750752.0,https://en.wikipedia.org/wiki/William_Vickrey,https://api.nobelprize.org/2/laureate/716
810,1996,Physiology or Medicine,Rolf M. Zinkernagel,for their discoveries concerning the specificity of the cell mediated immune defence,10750752.0,https://en.wikipedia.org/wiki/Rolf_M._Zinkernagel,https://api.nobelprize.org/2/laureate/456
757,1996,Chemistry,Richard E. Smalley,for their discovery of fullerenes,10750752.0,https://en.wikipedia.org/wiki/Richard_Smalley,https://api.nobelprize.org/2/laureate/286
444,1996,Economic Sciences,James A. Mirrlees,for their fundamental contributions to the economic theory of incentives under asymmetric information,10750752.0,https://en.wikipedia.org/wiki/James_Mirrlees,https://api.nobelprize.org/2/laureate/715
198,1996,Physics,Douglas D. Osheroff,for their discovery of superfluidity in helium-3,10750752.0,https://en.wikipedia.org/wiki/Douglas_Osheroff,https://api.nobelprize.org/2/laureate/150
976,1996,Literature,Wisława Szymborska,for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality,10750752.0,https://en.wikipedia.org/wiki/Wisława_Szymborska,https://api.nobelprize.org/2/laureate/673
239,1995,Physiology or Medicine,Eric F. Wieschaus,for their discoveries concerning the genetic control of early embryonic development,10510515.0,https://en.wikipedia.org/wiki/Eric_F._Wieschaus,https://api.nobelprize.org/2/laureate/454
261,1995,Chemistry,F. Sherwood Rowland,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",10510515.0,https://en.wikipedia.org/wiki/Frank_Sherwood_Rowland,https://api.nobelprize.org/2/laureate/283
151,1995,Physiology or Medicine,Christiane Nüsslein-Volhard,for their discoveries concerning the genetic control of early embryonic development,10510515.0,https://en.wikipedia.org/wiki/Christiane_Nüsslein-Volhard,https://api.nobelprize.org/2/laureate/453
609,1995,Physics,Martin L. Perl,for the discovery of the tau lepton,10510515.0,https://en.wikipedia.org/wiki/Martin_Lewis_Perl,https://api.nobelprize.org/2/laureate/147
740,1995,Peace,,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms",10510515.0,https://en.wikipedia.org/wiki/Pugwash_Conferences_on_Science_and_World_Affairs,https://api.nobelprize.org/2/laureate/561
706,1995,Chemistry,Paul J. Crutzen,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",10510515.0,https://en.wikipedia.org/wiki/Paul_J._Crutzen,https://api.nobelprize.org/2/laureate/281
518,1995,Peace,Joseph Rotblat,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms",10510515.0,https://en.wikipedia.org/wiki/Joseph_Rotblat,https://api.nobelprize.org/2/laureate/560
212,1995,Physiology or Medicine,Edward B. Lewis,for their discoveries concerning the genetic control of early embryonic development,10510515.0,https://en.wikipedia.org/wiki/Edward_B._Lewis,https://api.nobelprize.org/2/laureate/452
782,1995,Economic Sciences,Robert E. Lucas Jr.,"for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy",10510515.0,"https://en.wikipedia.org/wiki/Robert_Lucas,_Jr.",https://api.nobelprize.org/2/laureate/714
286,1995,Physics,Frederick Reines,for the detection of the neutrino,10510515.0,https://en.wikipedia.org/wiki/Frederick_Reines,https://api.nobelprize.org/2/laureate/148
832,1995,Literature,Seamus Heaney,"for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past",10510515.0,https://en.wikipedia.org/wiki/Seamus_Heaney,https://api.nobelprize.org/2/laureate/672
603,1995,Chemistry,Mario J. Molina,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",10510515.0,https://en.wikipedia.org/wiki/Mario_J._Molina,https://api.nobelprize.org/2/laureate/282
839,1994,Peace,Shimon Peres,for their efforts to create peace in the Middle East,10477801.0,https://en.wikipedia.org/wiki/Shimon_Peres,https://api.nobelprize.org/2/laureate/558
986,1994,Peace,Yitzhak Rabin,for their efforts to create peace in the Middle East,10477801.0,https://en.wikipedia.org/wiki/Yitzhak_Rabin,https://api.nobelprize.org/2/laureate/559
107,1994,Physics,Bertram N. Brockhouse,for the development of neutron spectroscopy,10477801.0,https://en.wikipedia.org/wiki/Bertram_Brockhouse,https://api.nobelprize.org/2/laureate/145
752,1994,Economic Sciences,Reinhard Selten,for their pioneering analysis of equilibria in the theory of non-cooperative games,10477801.0,https://en.wikipedia.org/wiki/Reinhard_Selten,https://api.nobelprize.org/2/laureate/713
984,1994,Peace,Yasser Arafat,for their efforts to create peace in the Middle East,10477801.0,https://en.wikipedia.org/wiki/Yasser_Arafat,https://api.nobelprize.org/2/laureate/557
157,1994,Physics,Clifford G. Shull,for the development of the neutron diffraction technique,10477801.0,https://en.wikipedia.org/wiki/Clifford_Shull,https://api.nobelprize.org/2/laureate/146
495,1994,Economic Sciences,John F. Nash Jr.,for their pioneering analysis of equilibria in the theory of non-cooperative games,10477801.0,"https://en.wikipedia.org/wiki/John_Forbes_Nash,_Jr.",https://api.nobelprize.org/2/laureate/712
307,1994,Chemistry,George A. Olah,for his contribution to carbocation chemistry,10477801.0,https://en.wikipedia.org/wiki/George_Andrew_Olah,https://api.nobelprize.org/2/laureate/280
611,1994,Physiology or Medicine,Martin Rodbell,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,10477801.0,https://en.wikipedia.org/wiki/Martin_Rodbell,https://api.nobelprize.org/2/laureate/451
485,1994,Economic Sciences,John C. Harsanyi,for their pioneering analysis of equilibria in the theory of non-cooperative games,10477801.0,https://en.wikipedia.org/wiki/John_Harsanyi,https://api.nobelprize.org/2/laureate/711
41,1994,Physiology or Medicine,Alfred G. Gilman,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,10477801.0,https://en.wikipedia.org/wiki/Alfred_G._Gilman,https://api.nobelprize.org/2/laureate/450
543,1994,Literature,Kenzaburo Oe,"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today",10477801.0,https://en.wikipedia.org/wiki/Kenzaburō_Ōe,https://api.nobelprize.org/2/laureate/671
200,1993,Economic Sciences,Douglass C. North,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,10245356.0,https://en.wikipedia.org/wiki/Douglass_North,https://api.nobelprize.org/2/laureate/710
659,1993,Peace,Nelson Mandela,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",10245356.0,https://en.wikipedia.org/wiki/Nelson_Mandela,https://api.nobelprize.org/2/laureate/555
516,1993,Physics,Joseph H. Taylor Jr.,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",10245356.0,"https://en.wikipedia.org/wiki/Joseph_Hooton_Taylor,_Jr.",https://api.nobelprize.org/2/laureate/144
916,1993,Literature,Toni Morrison,"who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality",10245356.0,https://en.wikipedia.org/wiki/Toni_Morrison,https://api.nobelprize.org/2/laureate/670
762,1993,Physiology or Medicine,Richard J. Roberts,for their discoveries of split genes,10245356.0,https://en.wikipedia.org/wiki/Richard_J._Roberts,https://api.nobelprize.org/2/laureate/448
798,1993,Economic Sciences,Robert W. Fogel,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,10245356.0,https://en.wikipedia.org/wiki/Robert_Fogel,https://api.nobelprize.org/2/laureate/709
262,1993,Peace,F.W. de Klerk,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",10245356.0,https://en.wikipedia.org/wiki/F._W._de_Klerk,https://api.nobelprize.org/2/laureate/556
636,1993,Chemistry,Michael Smith,"for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies",10245356.0,https://en.wikipedia.org/wiki/Michael_Smith_(chemist),https://api.nobelprize.org/2/laureate/279
821,1993,Physics,Russell A. Hulse,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",10245356.0,https://en.wikipedia.org/wiki/Russell_Alan_Hulse,https://api.nobelprize.org/2/laureate/143
536,1993,Chemistry,Kary B. Mullis,for his invention of the polymerase chain reaction (PCR) method,10245356.0,https://en.wikipedia.org/wiki/Kary_Mullis,https://api.nobelprize.org/2/laureate/278
734,1993,Physiology or Medicine,Phillip A. Sharp,for their discoveries of split genes,10245356.0,https://en.wikipedia.org/wiki/Phillip_Allen_Sharp,https://api.nobelprize.org/2/laureate/449
217,1992,Physiology or Medicine,Edwin G. Krebs,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,10403919.0,https://en.wikipedia.org/wiki/Edwin_G._Krebs,https://api.nobelprize.org/2/laureate/447
819,1992,Chemistry,Rudolph A. Marcus,for his contributions to the theory of electron transfer reactions in chemical systems,10403919.0,https://en.wikipedia.org/wiki/Rudolph_A._Marcus,https://api.nobelprize.org/2/laureate/277
207,1992,Physiology or Medicine,Edmond H. Fischer,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,10403919.0,https://en.wikipedia.org/wiki/Edmond_H._Fischer,https://api.nobelprize.org/2/laureate/446
324,1992,Physics,Georges Charpak,"for his invention and development of particle detectors, in particular the multiwire proportional chamber",10403919.0,https://en.wikipedia.org/wiki/Georges_Charpak,https://api.nobelprize.org/2/laureate/142
302,1992,Economic Sciences,Gary Becker,"for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour",10403919.0,https://en.wikipedia.org/wiki/Gary_Becker,https://api.nobelprize.org/2/laureate/708
771,1992,Peace,Rigoberta Menchú Tum,for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples,10403919.0,https://en.wikipedia.org/wiki/Rigoberta_Menchú,https://api.nobelprize.org/2/laureate/554
187,1992,Literature,Derek Walcott,"for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment",10403919.0,https://en.wikipedia.org/wiki/Derek_Walcott,https://api.nobelprize.org/2/laureate/669
737,1991,Physics,Pierre-Gilles de Gennes,"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers",9825752.0,https://en.wikipedia.org/wiki/Pierre-Gilles_de_Gennes,https://api.nobelprize.org/2/laureate/141
652,1991,Literature,Nadine Gordimer,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity,9825752.0,https://en.wikipedia.org/wiki/Nadine_Gordimer,https://api.nobelprize.org/2/laureate/668
251,1991,Physiology or Medicine,Erwin Neher,for their discoveries concerning the function of single ion channels in cells,9825752.0,https://en.wikipedia.org/wiki/Erwin_Neher,https://api.nobelprize.org/2/laureate/444
766,1991,Chemistry,Richard R. Ernst,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy,9825752.0,https://en.wikipedia.org/wiki/Richard_R._Ernst,https://api.nobelprize.org/2/laureate/276
813,1991,Economic Sciences,Ronald H. Coase,for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy,9825752.0,https://en.wikipedia.org/wiki/Ronald_Coase,https://api.nobelprize.org/2/laureate/707
104,1991,Physiology or Medicine,Bert Sakmann,for their discoveries concerning the function of single ion channels in cells,9825752.0,https://en.wikipedia.org/wiki/Bert_Sakmann,https://api.nobelprize.org/2/laureate/445
88,1991,Peace,Aung San Suu Kyi,for her non-violent struggle for democracy and human rights,9825752.0,https://en.wikipedia.org/wiki/Aung_San_Suu_Kyi,https://api.nobelprize.org/2/laureate/553
224,1990,Chemistry,Elias James Corey,for his development of the theory and methodology of organic synthesis,7169620.0,https://en.wikipedia.org/wiki/Elias_James_Corey,https://api.nobelprize.org/2/laureate/275
203,1990,Physiology or Medicine,E. Donnall Thomas,for their discoveries concerning organ and cell transplantation in the treatment of human disease,7169620.0,https://en.wikipedia.org/wiki/E._Donnall_Thomas,https://api.nobelprize.org/2/laureate/443
671,1990,Literature,Octavio Paz,"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity",7169620.0,https://en.wikipedia.org/wiki/Octavio_Paz,https://api.nobelprize.org/2/laureate/667
630,1990,Economic Sciences,Merton H. Miller,for their pioneering work in the theory of financial economics,7169620.0,https://en.wikipedia.org/wiki/Merton_Miller,https://api.nobelprize.org/2/laureate/705
513,1990,Physiology or Medicine,Joseph E. Murray,for their discoveries concerning organ and cell transplantation in the treatment of human disease,7169620.0,https://en.wikipedia.org/wiki/Joseph_Murray,https://api.nobelprize.org/2/laureate/442
472,1990,Physics,Jerome I. Friedman,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",7169620.0,https://en.wikipedia.org/wiki/Jerome_Isaac_Friedman,https://api.nobelprize.org/2/laureate/138
640,1990,Peace,Mikhail Gorbachev,for the leading role he played in the radical changes in East-West relations,7169620.0,https://en.wikipedia.org/wiki/Mikhail_Gorbachev,https://api.nobelprize.org/2/laureate/552
758,1990,Physics,Richard E. Taylor,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",7169620.0,https://en.wikipedia.org/wiki/Richard_E._Taylor,https://api.nobelprize.org/2/laureate/140
371,1990,Economic Sciences,Harry M. Markowitz,for their pioneering work in the theory of financial economics,7169620.0,https://en.wikipedia.org/wiki/Harry_Markowitz,https://api.nobelprize.org/2/laureate/704
389,1990,Physics,Henry W. Kendall,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",7169620.0,https://en.wikipedia.org/wiki/Henry_Way_Kendall,https://api.nobelprize.org/2/laureate/139
